adjective gender,adjective,association
masculine,manly,6.39130434782609
masculine,stocky,5.34782608695652
masculine,macho,6.45454545454545
masculine,heavyset,4.04545454545455
masculine,handsome,6.0
masculine,grandfatherly,6.69565217391304
masculine,genius,4.04347826086957
masculine,dapper,5.85714285714286
masculine,burly,5.81818181818182
feminine,sexy,3.52173913043478
feminine,plus-size,2.60869565217391
feminine,full-figured,2.47826086956522
feminine,good-looking,3.8695652173913
feminine,voluptuous,1.90909090909091
feminine,grandmotherly,1.34782608695652
feminine,womanly,1.73913043478261
feminine,feministic,2.5
feminine,statuesque,3.3
feminine,feminine,1.47826086956522
