Group,translation,en,es,de
Spanish Masculine,barn,barn,granero,Scheune
German Masculine,belly,belly,barriga,Bauch
Spanish Masculine,bench,bench,banco,Bank
Spanish Masculine,bowl,bowl,bol,Schüssel
German Masculine,box,box,caja,Kasten
Spanish Masculine,bumblebee,bumblebee,abejorro,Hummel
German Masculine,butterfly,butterfly,mariposa,Schmetterling
Spanish Masculine,button,button,botón,Taste
German Masculine,cage,cage,jaula,Käfig
Spanish Masculine,cat,cat,gato,Katze
Spanish Masculine,ceiling,ceiling,techo,Decke
German Masculine,chair,chair,silla,Stuhl
Spanish Masculine,clock,clock,reloj,Uhr
Spanish Masculine,couch,couch,sofá,Couch
German Masculine,dirt,dirt,suciedad,Schmutz
Spanish Masculine,dresser,dresser,vestidor,Kommode
Spanish Masculine,drum,drum,tambor,Trommel
German Masculine,fingernail,fingernail,uña,Fingernagel
German Masculine,fish,fish,pez,Fisch
Spanish Masculine,fist,fist,puño,Faust
Spanish Masculine,fork,fork,tenedor,Gabel
German Masculine,frog,frog,rana,Frosch
German Masculine,head,head,cabeza,Kopf
German Masculine,ladybug,ladybug,mariquita,Marienkäfer
Spanish Masculine,lip,lip,labio,Lippe
Spanish Masculine,mattress,mattress,colchón,Matratze
German Masculine,moon,moon,luna,Mond
Spanish Masculine,mouse,mouse,ratón,Maus
German Masculine,mouth,mouth,boca,Mund
German Masculine,movie,movie,película,Film
Spanish Masculine,necklace,necklace,collar,Halskette
German Masculine,pajama,pajama,pijama,Schlafanzug
Spanish Masculine,pants,pants,pantalones,Hose
German Masculine,pie,pie,tarta,Kuchen
German Masculine,rain,rain,lluvia,Regen
German Masculine,sand,sand,arena,Sand
Spanish Masculine,seesaw,seesaw,balancín,Wippe
Spanish Masculine,shoulder,shoulder,hombro,Schulter
Spanish Masculine,sock,sock,calcetín,Socke
German Masculine,star,star,estrella,Stern
German Masculine,stove,stove,cocina,Herd
German Masculine,stripe,stripe,raya,Streifen
Spanish Masculine,sun,sun,sol,Sonne
German Masculine,table,table,mesa,Tisch
German Masculine,toaster,toaster,tostadora,Toaster
Spanish Masculine,toilet,toilet,baño,Toilette
Spanish Masculine,underpants,underpants,calzoncillos,Unterhose
Spanish Masculine,wall,wall,muro,Wand
German Masculine,washcloth,washcloth,tapa,Waschlappen
German Masculine,wing,wing,ala,Flügel
